Marca,Origen
CHEVROLET,Americano
CITROEN,Europeo
DAIHATSU,Japonés
DODGE,Americano
DS,Europeo
FIAT,Europeo
FORD,Americano
FUSO,Japonés
HONDA,Japonés
HYUNDAI,Coreano
ISUZU,Japonés
JEEP,Americano
KENBO,Chino / Indio
KIA,Coreano
MAZDA,Japonés
MITSUBISHI,Japonés
MITSUBISHI FUSO,Japonés
NISSAN,Japonés
PEUGEOT,Europeo
RENAULT,Europeo
SEAT,Europeo
SSANG YONG,Coreano
SSANGYONG,Coreano
SUBARU,Japonés
SUZUKI,Japonés
TOYOTA,Japonés
VOLKSWAGEN,Europeo
AUDI,Europeo
B M W,Europeo
BMW,Europeo
JAGUAR,Europeo
LAND ROVER,Europeo
LEXUS,Japonés
MASERATI,Europeo
MERCEDES BENZ,Europeo
MINI,Europeo
PORSCHE,Europeo
VOLVO,Europeo
VOLVO WHITE,Americano
BAIC,Chino / Indio
BRILLANCE,Chino / Indio
BRILLIANCE,Chino / Indio
BYD,Chino / Indio
CHANGAN,Chino / Indio
CHERY,Chino / Indio
DFSK,Chino / Indio
DONG FENG,Chino / Indio
DONGFENG,Chino / Indio
FAW,Chino / Indio
FOTON,Chino / Indio
GEELY,Chino / Indio
GREAT WALL,Chino / Indio
HAVAL,Chino / Indio
JAC,Chino / Indio
JINBEI,Chino / Indio
JMC,Chino / Indio
JOYLONG,Chino / Indio
MAHINDRA,Chino / Indio
MG,Chino / Indio
SHINERAY,Chino / Indio
ASHOK LEYLAND,Chino / Indio
AUTOCRAFT,Otros
BAIC YINXIANG,Chino / Indio
BAJAJ,Chino / Indio
BAW,Chino / Indio
CAMC,Chino / Indio
CHANGHE,Chino / Indio
CHANGUE,Chino / Indio
CIMC LINYU,Chino / Indio
EURISE,Chino / Indio
FORLAND,Chino / Indio
GAC,Chino / Indio
GOLDEN DRAGON,Chino / Indio
GONOW,Chino / Indio
HAFEI,Chino / Indio
HAIMA,Chino / Indio
HALCON,Otros
HERO,Chino / Indio
HIGER,Chino / Indio
HOWO,Chino / Indio
JETOUR,Chino / Indio
KAIYI,Chino / Indio
KAMA,Chino / Indio
KARRY,Chino / Indio
KEYTON,Chino / Indio
KING LONG,Chino / Indio
KYC,Chino / Indio
LIFAN,Chino / Indio
SAKIMOTO,Chino / Indio
SHACMAN,Chino / Indio
SHIFENG,Chino / Indio
SIDTRUK,Chino / Indio
SINOTRUCK,Chino / Indio
SINOTRUCK HOWO,Chino / Indio
SINOTRUK,Chino / Indio
SINOTRUK HOWO,Chino / Indio
SITRAK,Chino / Indio
TKING,Chino / Indio
T-KING,Chino / Indio
WANXIN,Chino / Indio
YANSUMI,Chino / Indio
YUEJIN,Chino / Indio
YUTONG,Chino / Indio
ZHONG YOU PAI CIMC,Chino / Indio
ZINSAC,Chino / Indio
ZINZAC,Chino / Indio
ZNA,Chino / Indio
ZONGSHEN,Chino / Indio
ZOTYE,Chino / Indio
ZXAUTO,Chino / Indio
ACS,Otros
ACURA,Japonés
AGRALE,Otros
AGRALE MODASA,Otros
AJAX,Otros
ALESIN,Otros
ALFA ROMEO,Europeo
ALX PERU SAC,Otros
ALYER,Otros
AML,Otros
AMTRA,Otros
ANAIG,Otros
ANDINO,Otros
ANDINO II,Otros
ANDYCAR,Otros
ARFAMET,Otros
ARNOLD,Otros
ASTON MARTIN,Europeo
ASTRA,Otros
ASYA,Otros
ASYA GO,Otros
AUSTIN,Europeo
AUTO EFECTIVO,Otros
AUTO EFECTIVO MI BANCO,Otros
BACKDRAFT,Americano
BALLENA,Otros
BARBOZA,Otros
BENSON,Americano
BENTLEY,Europeo
BLUE BIRD,Americano
BOXER,Otros
BRA FABRICACIONES,Otros
BREVETE,Otros
BRIAB,Otros
BROSHUIS,Europeo
BRUNO,Otros
BUGATTI,Europeo
BULLON,Otros
BUTLER,Americano
C.P.R.,Otros
CADILLAC,Americano
CAISA,Otros
CAMENA,Otros
CAMERON,Otros
CAN AM,Americano
CARROCERIAS LEON,Otros
CARROTEK,Otros
CASE,Americano
CATERPILLAR,Americano
CBC,Otros
CBSAC,Otros
CEMAC,Otros
CESPEDES,Otros
CF MOTO,Chino / Indio
CFMOTO,Chino / Indio
CHALLENGER,Otros
CHEMOTO,Otros
CHENGLONG,Chino / Indio
CHRYSLER,Americano
CIBI,Otros
CIMC,Otros
CLARK,Americano
CLAVE 7,Otros
CLUB CAR,Americano
CMASAC,Otros
CNHTC,Chino / Indio
COINCA,Otros
COLUMBIA,Otros
CONSERMET,Otros
CORENHA,Otros
CPR,Otros
CRANE FRUEHAUF,Americano
CROSS,Otros
CUPRA,Europeo
CYTSA,Otros
DAEWOO,Coreano
DAF,Europeo
DAM,Otros
DAMBROZ,Otros
DATSUN,Japonés
DAYUN,Chino / Indio
DAZAI,Otros
DE LA CRUZ,Otros
DENNINSON,Otros
DENWAY,Otros
DFAC,Chino / Indio
DIMEX,Otros
DORSEY,Americano
DUCATI,Europeo
DUNHAM,Otros
EAGER BEAVER,Americano
EGSA,Otros
EL INTI,Otros
EL OCIOSO,Otros
EMC,Otros
E-ONE,Americano
ES-GE,Otros
ESTANDAR,Otros
FABCORR,Otros
FABIMET,Otros
FABINET,Otros
FABRICACIONES ALCANTARA,Otros
FABRIMETAL,Otros
FACSAP,Otros
FACSEMIN,Otros
FACTORIA,Otros
FACTORIA J.C.,Otros
FACTORIA JC,Otros
FACTORIA JC EIRL,Otros
FACTORIA JFC,Otros
FAMA ANDINA,Otros
FAMECA,Otros
FAMECH,Otros
FAMEDI,Otros
FAMEL,Otros
FAMESERVI,Otros
FAMETH,Otros
FAMICOT,Otros
FAPITRAP,Otros
FAREISA-EIRL,Otros
FARIZON,Chino / Indio
FASSI,Europeo
FAYMONVILLE,Europeo
FELISUR,Otros
FERRARI,Europeo
FIA,Otros
FIRE TRUCK,Otros
FLAT BED,Otros
FLIPA,Otros
FMDA,Otros
FOREVER,Otros
FORK LIFT,Otros
FRAPIVA,Otros
FREIGHTLINER,Americano
FRIOMAR,Otros
FRUEHAUF,Americano
FRVEHAUF,Otros
FUFABRISAC,Otros
FUJIMOTORS,Otros
FULL CONVERSIONES,Otros
GADEN,Otros
GAZ,Europeo
GLADIADOR,Otros
GLOBETRAILERS,Otros
GM,Americano
GMC,Americano
GOLDHOFER,Europeo
GRANDA,Otros
GRATD,Otros
GREAT DANE,Americano
GROVE,Otros
GRUPO PINTO,Otros
GRUPO SERMET SAC,Otros
HAOJUE,Chino / Indio
HARLEY DAVIDSON,Americano
HIAB,Europeo
HIGHWAY,Otros
HILLMAN,Europeo
HINO,Japonés
HISUN,Otros
HOHAN,Otros
HOKA,Otros
HONGYAN,Chino / Indio
HOWO A7,Chino / Indio
HR TRACTOR,Otros
HUA WIN,Otros
HUMMER,Americano
HUSQVARNA,Europeo
HYMER,Europeo
HYSTER,Americano
IBIMCO,Otros
ICYS,Otros
IDEAGRO,Otros
IMASA,Otros
IMASAC,Otros
IMPROTECSAC,Otros
INCA FREUHAUF,Otros
INCAPER,Otros
INCO,Otros
INCOF,Otros
INDIAN,Chino / Indio
INDIO,Otros
INDUBARZA,Otros
INDUSTRIAS FIRME,Otros
INDUSTRIAS RODO,Otros
INKA TRAYLERS,Otros
INKA TRAYLERS SRL,Otros
INMEPO,Otros
INMETSA,Otros
INMPSAC,Otros
INPAC,Otros
INPROTEC SAC,Otros
INPROTEC-SAC,Otros
INTECPO,Otros
INTERNACIONAL,Americano
INTERNATIONAL,Americano
ITALIKA,Otros
IVECO,Europeo
IVECO ASTRA,Europeo
JBU,Otros
JCH,Otros
JETTOR,Otros
JIM,Otros
JINCHENG,Otros
JINCO,Otros
JMR INVERSIONES Y NEGOCIACIONES EIRL,Otros
JR,Otros
JV,Otros
JYD PROMINCO,Otros
KALYN SIEBERT,Otros
KAMAX,Otros
KATSUMOTO,Otros
KAWASAKI,Japonés
KEEWAY,Otros
KENWORTH,Americano
KERUI,Otros
KINGSTAR,Otros
KRV TRAILERS,Otros
KTM,Europeo
KVR,Otros
KVR TRAILERS,Otros
L & S NASSI,Otros
L&S NASSI,Otros
L&SNASSI,Otros
LAM,Otros
LAMBERET,Europeo
LAMBORGHINI,Europeo
LBP,Otros
LEON,Otros
LIEBHERR,Europeo
LIFT SYSTEMS,Otros
LIM,Otros
LIMA TRAYLERS,Otros
LINCOLN,Americano
LINK BELT,Americano
LK,Otros
LOHEAC,Otros
LOHR,Europeo
LONCIN,Chino / Indio
LORAIN,Otros
LYS NASSI,Otros
